NumberofFloors,NumberofBuildings,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,BuildingType,Neighborhood,largestUseType_encode,BuildingAge
12.0,1.0,88434.0,0.0,78.0,73.80000305,6510477.0,88434.0,3224187.0,1487620.0,241.6,1,1,2,94.0
11.0,1.0,88502.0,15064.0,96.0,52.20000076,4617104.0,88502.0,2243315.0,2373790.0,135.4,1,1,2,25.0
41.0,3.0,759392.0,196718.0,96.0,46.5,43953212.0,945349.0,29594739.0,3775000.0,1201.4,1,1,2,52.0
10.0,1.0,61320.0,0.0,76.0,79.5,4873753.0,61320.0,1738403.0,1967580.0,208.6,1,1,2,95.0
18.0,1.0,113580.0,62000.0,90.0,92.40000153,11358936.0,123445.0,4550233.0,6808700.0,380.4,1,1,2,41.0
2.0,1.0,60090.0,37198.0,0.0,192.8000031,9832419.0,50755.0,6659767.0,3172650.0,196.0,1,1,1,22.0
11.0,1.0,83008.0,0.0,62.0,63.20000076,5403454.0,83008.0,2540985.0,2862470.0,162.5,1,1,2,95.0
8.0,1.0,102761.0,0.0,0.0,71.09999847,7262585.0,102761.0,2588992.0,425020.0,385.9,1,1,1,95.0
15.0,1.0,163984.0,0.0,82.0,75.30000305,12277663.0,163984.0,5673163.0,6604500.0,374.2,1,1,2,117.0
6.0,1.0,62216.0,1496.0,23.0,82.59999847,4631289.0,38407.0,2470997.0,747180.0,167.2,1,1,1,111.0
11.0,1.0,133884.0,19279.0,45.0,86.90000153,13497188.0,154723.0,7181226.0,3759700.0,441.6,1,1,2,52.0
25.0,1.0,272015.0,61161.0,81.0,53.20000076,19576208.0,368583.0,14967110.0,1756800.0,392.0,1,1,2,23.0
9.0,1.0,65009.0,0.0,67.0,69.30000305,4503616.0,65009.0,1368080.0,1792990.0,212.3,1,1,2,93.0
33.0,1.0,295511.0,57600.0,95.0,47.20000076,13950985.0,295511.0,10709589.0,3241390.0,216.5,1,1,2,41.0
11.0,1.0,66990.0,25200.0,56.0,85.5,5843675.0,67390.0,2541896.0,687700.0,264.0,1,1,2,99.0
11.0,1.0,355000.0,57000.0,0.0,36.40000153,13394116.0,364913.0,12723843.0,0.0,108.3,1,1,1,17.0
6.0,1.0,103911.0,0.0,0.0,69.19999695,7162932.0,61528.0,4194283.0,3230.0,263.7,1,1,1,91.0
28.0,1.0,331281.0,85000.0,77.0,67.0,23332322.0,348329.0,15218305.0,8114020.0,493.9,1,1,2,38.0
5.0,1.0,57452.0,0.0,0.0,105.3000031,6043709.0,16442.0,2972887.0,1452530.0,223.8,1,1,1,114.0
10.0,1.0,104352.0,0.0,91.0,58.5,6107224.0,104352.0,3229637.0,561.0,252.2,1,1,2,105.0
